Win64
PlayerPath?
C:/Users/User/Documents/아이우에여/Build/아이우에여.exe
SceneListBegin?
Assets/Full Scene/Game Start.unity
Assets/Full Scene/GameOver.unity
Assets/Full Scene/mirror room.unity
Assets/Full Scene/portalroom.unity
Assets/Full Scene/QuizMap.unity
Assets/Full Scene/tetris.unity
Assets/mind/y_Scene/y_piace.unity
Assets/mind/y_Scene/y_piace1.unity
Assets/HGM/Box/h_Scene/Confusion.unity
Assets/HGM/Box/h_Scene/DarkMaze.unity
Assets/HGM/Box/h_Scene/Ending_Scene.unity
Assets/GT/Scenes/easy.unity
Assets/GT/Scenes/hard.unity
Assets/GT/Scenes/normal.unity
SceneListEnd?
388e89ea97ef0f695f4d3e63af11f318 Assembly-CSharp.dll:.y_playermove
984dcc0ba3707b7691fbdca8ff508d28 Unity.TextMeshPro.dll:TMPro.TMP_SelectionCaret
858aec2544349216fa53e05b0b79e3d8 Assembly-CSharp.dll:.J_TwoButton
05ff9c69952d1e0556e51d6bbed2425c Assembly-CSharp.dll:.MoveLightEX
e9751a4b458ead05b035f1ed33aacaa4 Assembly-CSharp.dll:.boss1_bulletmaster
dcb9e60e383169d4eb80cb3e94fd6b9b Assembly-CSharp.dll:.boss_basic
01aa15e337e3a9c62f15153dfac6d589 Unity.TextMeshPro.dll:TMPro.TMP_Dropdown
71bb6a6b6c8f052f948db64c7dd3ca4f UnityEngine.Timeline.dll:UnityEngine.Timeline.ActivationPlayableAsset
06f0fef534ca4c1d6064fd77a26bf722 UnityEngine.Timeline.dll:UnityEngine.Timeline.ActivationTrack
780e8f682b3221346c034a6712a0fd25 UnityEngine.Timeline.dll:UnityEngine.Timeline.AnimationPlayableAsset
bfe92276ffffff8b72df49ef40f0c1ea UnityEngine.Timeline.dll:UnityEngine.Timeline.AnimationTrack
1b3bcc00907f1f74e346e850f93a79c2 UnityEngine.Timeline.dll:UnityEngine.Timeline.AudioPlayableAsset
e1bbf0ab858085e38fae6b12ebbdcd35 UnityEngine.Timeline.dll:UnityEngine.Timeline.AudioTrack
71bb6a6b6c8f052f948db64c7dd3ca4f UnityEngine.Timeline.dll:UnityEngine.Timeline.BasicPlayableBehaviour
0fb27be807aa299702f28ad0bcad1f46 UnityEngine.Timeline.dll:UnityEngine.Timeline.ControlPlayableAsset
e1bbf0ab858085e38fae6b12ebbdcd35 UnityEngine.Timeline.dll:UnityEngine.Timeline.ControlTrack
e1bbf0ab858085e38fae6b12ebbdcd35 UnityEngine.Timeline.dll:UnityEngine.Timeline.GroupTrack
e1bbf0ab858085e38fae6b12ebbdcd35 UnityEngine.Timeline.dll:UnityEngine.Timeline.PlayableTrack
201e3fde670b00545944bb3db215c80a UnityEngine.Timeline.dll:UnityEngine.Timeline.TimelineAsset
0cfeed7825ca60934da9769843c30c24 Assembly-CSharp.dll:.magic_circle_2
885a948d27141d2fc1d565b5d72cc05e Assembly-CSharp.dll:.J_GotoNextScene
e7a73f5f78ba6445195ec23b74a1ce2d Unity.TextMeshPro.dll:TMPro.TMP_ScrollbarEventHandler
41881f60db5637108ce2c8433c1bde5f Assembly-CSharp.dll:.e_chasing
c68e80b351dbf60be853cdc627ae7a20 Assembly-CSharp.dll:.boss3_special_bullet_3
8e92a425e6defc386a7c129c733252d6 Assembly-CSharp.dll:.GameStart
